Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000178917,ZNF852,0.01559160803154982,-0.06501012193288691,1.0,0.014705602663444802,0.2638900158225148,1.0,0.0,1.699411038841582,1.0,0.0,3.1178593960665673,1.0
ENSG00000196345,ZKSCAN7,0.016705294319517665,-0.29382881242876735,1.0,0.014705602663444802,0.08331777018069353,1.0,0.05564077217620525,2.6214085268403085,0.6595789423616646,0.0,2.9658563026215177,1.0
ENSG00000144792,ZNF660,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000186448,ZNF197,0.02895584348716395,0.19802428390090743,1.0,0.019607470217926404,-0.3146462157392085,1.0,0.05564077217620525,1.9151397298970187,0.7715253059899803,0.0,2.2877843975088794,1.0
ENSG00000169981,ZNF35,0.0022273725759356885,-0.38693821682024954,1.0,0.0,0.5858181107098765,1.0,0.0,4.284373539562738,1.0,0.0,5.702821896787723,1.0
ENSG00000196653,ZNF502,0.004454745151871377,0.350027377345957,1.0,0.0,-0.1511474834563291,1.0,0.0,3.5474079453965324,1.0,0.0,4.965856302621518,1.0
ENSG00000186446,ZNF501,0.011136862879678442,-0.5124690989041083,1.0,0.014705602663444802,0.7113489927937362,1.0,0.0,2.0619811182262904,1.0,0.0,3.4804294754512757,1.0
ENSG00000163807,KIAA1143,0.07238960871790988,0.07249340181704866,1.0,0.07352801331722401,0.12638649207257924,1.0,0.0,-0.4705139626007302,1.0,0.0,0.9479343946242551,1.0
ENSG00000169964,TMEM42,0.12918760940426993,0.650536488598414,0.7646865016632989,0.06862614576274241,-0.8411920302350429,0.8522563459037337,0.222563088704821,1.1578411336338061,0.6145927697130092,0.0,0.210968800458049,1.0
ENSG00000163812,ZDHHC3,0.11916443281255933,-0.30447605662827604,0.8942122785116542,0.14705602663444803,0.33056105546780223,1.0,0.1112815443524105,0.33535746828154256,1.0,0.16198604081902682,1.158501380563913,1.0
