Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000187790,FANCM,0.021780109990222597,-2.3959766689059334,0.49221358064640763,0.1112815443524105,2.8104423512303254,0.42354484128814707,0.0,2.532896895345411,1.0
ENSG00000129534,MIS18BP1,0.10164051328770546,-2.094123014181612,0.3290956130303921,0.3894854052334368,2.011355045156322,0.35380754582572654,0.4859581224570805,2.380893801900361,1.0
ENSG00000213741,RPS29,5.73996648700658,1.6803543862282164,1.0,1.2240969878765156,-2.2391884164942746,1.0,3.56369289801859,-0.8207400592692893,1.0
ENSG00000165501,LRR1,0.045375229146297075,-1.3674075167091626,0.7190852794090339,0.1112815443524105,1.7818731990335546,0.6044236430998456,0.0,1.5598639429456806,1.0
ENSG00000165502,RPL36AL,2.7288662808583064,2.1928278981096163,0.8989164952985272,0.3894854052334368,-2.688606246503553,1.0,1.1339022857331877,-1.2701578892785674,1.0
ENSG00000168282,MGAT2,0.11888310036329834,0.5895237613989512,1.0,0.05564077217620525,-0.17505807907455928,1.0,0.0,0.23250196200769002,1.0
ENSG00000258377,AL139099.1,0.008167541246333473,-2.13294226307214,1.0,0.0,2.5474079453965324,1.0,0.0,3.9658563026215177,1.0
ENSG00000165506,DNAAF2,0.18422343033396613,0.632592483290837,1.0,0.1112815443524105,-0.21812680096644543,1.0,0.0,-0.39871612967433867,1.0
ENSG00000100479,POLE2,0.001815009165851883,-4.869907857238346,0.36807963802070587,0.05564077217620525,5.284373539562738,0.33040666479188946,0.0,5.287784397508879,1.0
ENSG00000197776,KLHDC1,0.025410128321926365,-3.181851863553086,0.31336817060812083,0.2782038608810263,3.596317545877478,0.2811172035671995,0.0,2.2003215562585403,1.0
