Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000067141,NEO1,0.00779580401577491,-1.5568632182625617,0.5799906479848925,0.024509337772408005,1.7557431121521887,0.6459003195058699,0.0,2.1954917817441926,1.0,0.0,3.5873446793677877,1.0,0.0,6.014367027894617,1.0
ENSG00000156642,NPTN,0.1536887077395625,-0.17488773970525973,0.9955247378317027,0.16666349685237442,0.13013862693368683,1.0,0.22686525676959066,0.7749160989239192,0.7479067362246847,0.16198604081902682,0.8201788474258822,1.0,0.0,2.239073315069311,1.0
ENSG00000281183,NPTN-IT1,0.0022273725759356885,-1.3869382168202495,0.8735092370347536,0.0,0.17078061143103263,1.0,0.056716314192397664,5.310968999164129,0.343832481796112,0.0,5.287784397508879,1.0,0.0,7.71480674603571,1.0
ENSG00000261801,LOXL1-AS1,0.03118321606309964,-0.8143594405549246,0.7268036819607916,0.044116807990334406,0.49270870631839525,1.0,0.17014894257719299,2.648003986441699,0.37990788667249864,0.0,1.9302323928907965,1.0,0.0,4.357254741417625,1.0
ENSG00000129038,LOXL1,0.0011136862879678442,-2.5568632182625617,0.6264426112111107,0.009803735108963202,2.7557431121521887,0.7605761658846636,0.0,3.895931499885285,1.0,0.0,5.287784397508879,1.0,0.0,7.71480674603571,1.0
ENSG00000067221,STOML1,0.03452427492700317,1.0280992824585944,0.6716899353178838,0.014705602663444802,-0.8292193885689674,1.0,0.0,0.7666484829403188,1.0,0.0,2.158501380563913,1.0,0.0,4.585523729090743,1.0
ENSG00000140464,PML,0.1815308649387586,-0.286774054894817,0.8828179563690306,0.22548590750615363,0.33305204032991,1.0,0.17014894257719299,0.17483231117810005,1.0,0.16198604081902682,0.5530747772830416,1.0,0.0,1.973339759634562,1.0
ENSG00000138623,SEMA7A,0.0,-3.5568632182625617,0.4456965102207114,0.009803735108963202,3.7557431121521887,0.5395265021662013,0.0,4.310968999164129,1.0,0.0,5.702821896787723,1.0,0.0,8.129844245314553,1.0
ENSG00000138629,UBL7,0.24389729706495789,-0.25663019447451774,0.9079154038508712,0.2892101857144144,0.25112271974863654,1.0,0.11343262838479533,-0.668853118898241,1.0,0.809930204095134,1.73832057800911,1.0,0.0,1.5549354092573195,1.0
ENSG00000247240,UBL7-AS1,0.0579116869743279,0.2965881183844967,1.0,0.044116807990334406,-0.262178795845073,1.0,0.056716314192397664,0.9417351894984094,1.0,0.0,1.3105044740089635,1.0,0.0,3.7375268225357927,1.0
ENSG00000179361,ARID3B,0.05011588295855299,0.09222961987831013,1.0,0.044116807990334406,-0.06188014535924147,1.0,0.056716314192397664,1.1145717863606253,1.0,0.0,1.4804294754512757,1.0,0.0,3.907451823978105,1.0
ENSG00000179335,CLK3,0.20046353183421195,0.004383213484787429,1.0,0.19607470217926404,-0.010826195058914578,1.0,0.22686525676959066,0.4234437284225414,0.872837939524624,0.16198604081902682,0.47400320629184245,1.0,0.0,1.8946277836205212,1.0
ENSG00000260919,AC100835.1,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000179151,EDC3,0.05457062811042437,-0.23493512337519862,1.0,0.04901867554481601,-0.12467527209513829,1.0,0.17014894257719299,1.9651941623223985,0.47465213113372273,0.16198604081902682,2.3105044740089635,1.0,0.0,3.7148067460357086,1.0
ENSG00000103653,CSK,0.9833849922756065,-0.30293923087348074,0.8229532678955387,1.2499762263928083,0.34741337138479794,1.0,0.6805957703087719,-0.5697918646197361,1.0,1.619860408190268,0.5785438980139468,1.0,0.0,-0.4663455108298573,1.0
ENSG00000140474,ULK3,0.25614784623260417,-0.07434798651222274,1.0,0.24509337772408005,-0.07565728387206594,1.0,0.5671631419239767,1.2158117661237888,0.4734929588231706,0.16198604081902682,0.10290905460059574,1.0,0.0,1.5249821871556914,1.0
