Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000142655,PEX14,0.056854270469617954,-0.8693360402838937,1.0,0.05564077217620525,0.8693360402838937,1.0
ENSG00000287727,AL139423.2,0.0009024487376129834,-5.869336040283894,0.3110199796086701,0.05564077217620525,5.869336040283894,0.3110199796086701
ENSG00000130940,CASZ1,0.013536731064194752,-3.4542985410050497,0.3679093815193148,0.1112815443524105,3.4542985410050497,0.3679093815193148
ENSG00000272078,AL139423.1,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000120948,TARDBP,0.21117300460143812,-1.8001740157764985,0.32851291419673306,0.7233300382906682,1.8001740157764985,0.32851291419673306
ENSG00000271895,AL109811.2,0.01804897475225967,-3.477018617505134,0.3227175812719768,0.16692231652861575,3.477018617505134,0.3227175812719768
ENSG00000116649,SRM,0.5504937299439199,1.063764434647473,1.0,0.222563088704821,-1.063764434647473,1.0
ENSG00000171824,EXOSC10,0.13987955433001242,-1.9058619163090085,0.3419259794383624,0.5007669495858472,1.9058619163090085,0.3419259794383624
ENSG00000226849,AL109811.1,0.0018048974752259668,-4.284373539562738,1.0,0.0,4.284373539562738,1.0
ENSG00000198793,MTOR,0.09565956618697624,-0.7128315546039032,0.9114294106353954,0.1112815443524105,0.7128315546039032,0.9114294106353954
ENSG00000120942,UBIAD1,0.18409954247304863,-0.7748184414996042,0.7020465623926669,0.2782038608810263,0.7748184414996042,0.7020465623926669
ENSG00000116661,FBXO2,0.01804897475225967,-1.4770186175051343,1.0,0.0,1.4770186175051343,1.0
ENSG00000132879,FBXO44,0.16514811898317597,-0.6677021791142437,0.7744031952996999,0.222563088704821,0.6677021791142437,0.7744031952996999
ENSG00000116663,FBXO6,0.027975910866002488,-1.8693360402838937,0.8178218446782105,0.05564077217620525,1.8693360402838937,0.8178218446782105
ENSG00000116670,MAD2L2,0.12905016947865663,0.3005889611584185,1.0,0.05564077217620525,-0.3005889611584185,1.0
ENSG00000162490,DRAXIN,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000177674,AGTRAP,0.12363547705297873,1.2391884164942746,1.0,0.0,-1.2391884164942746,1.0
ENSG00000215910,C1orf167,0.0,-6.869336040283894,0.2811172035671995,0.05564077217620525,6.869336040283894,0.2811172035671995
ENSG00000177000,MTHFR,0.0379028469797453,-3.4430712855817958,0.2811172035671995,0.3894854052334368,3.4430712855817958,0.2811172035671995
ENSG00000011021,CLCN6,0.02075632096509862,-2.2843735395627376,0.6775875485303203,0.05564077217620525,2.2843735395627376,0.6775875485303203
ENSG00000285646,AL021155.5,0.031585705816454424,-0.699411038841582,1.0,0.0,0.699411038841582,1.0
ENSG00000116685,KIAA2013,0.16966036267124088,-0.8920561167839773,0.6605820570231795,0.2782038608810263,0.8920561167839773,0.6605820570231795
ENSG00000083444,PLOD1,0.007219589900903867,-2.699411038841582,1.0,0.0,2.699411038841582,1.0
ENSG00000116688,MFN2,0.05234202678155304,-1.571655491643209,0.6605820570231795,0.1112815443524105,1.571655491643209,0.6605820570231795
ENSG00000116691,MIIP,0.1588309778198851,-0.7236585850882591,0.7592305383150324,0.222563088704821,0.7236585850882591,0.7592305383150324
ENSG00000028137,TNFRSF1B,0.19222158111156548,-0.4497971487701098,0.852201989080153,0.222563088704821,0.4497971487701098,0.852201989080153
ENSG00000048707,VPS13D,0.09475711744936326,-2.841855303861787,0.2811172035671995,0.667689266114463,2.841855303861787,0.2811172035671995
ENSG00000229484,LINC02766,0.0009024487376129834,-5.869336040283894,0.3110199796086701,0.05564077217620525,5.869336040283894,0.3110199796086701
ENSG00000162496,DHRS3,0.11822078462730083,0.17505807907455928,1.0,0.05564077217620525,-0.17505807907455928,1.0
ENSG00000179172,HNRNPCL1,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000116731,PRDM2,0.15612363160704615,-1.5963175458774783,0.3953352267269912,0.445126177409642,1.5963175458774783,0.3953352267269912
ENSG00000228140,AL031283.1,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000142634,EFHD2,0.2626125826453782,-1.138943100041174,0.49917993391805643,0.5564077217620526,1.138943100041174,0.49917993391805643
ENSG00000132906,CASP9,0.03609794950451934,-1.5117840356658099,0.891691569884164,0.05564077217620525,1.5117840356658099,0.891691569884164
ENSG00000116138,DNAJC16,0.03880529571735829,-2.73183251653396,0.3370348706973014,0.222563088704821,2.73183251653396,0.3370348706973014
ENSG00000272510,AL121992.3,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000116771,AGMAT,0.06587875784574779,-1.2448451753761005,0.7405590937960643,0.1112815443524105,1.2448451753761005,0.7405590937960643
ENSG00000197312,DDI2,0.055951821732004976,-3.2139842116713404,0.2811172035671995,0.5007669495858472,3.2139842116713404,0.2811172035671995
ENSG00000116786,PLEKHM2,0.14800159296852927,-0.8249419209254412,0.7193718458002322,0.222563088704821,0.8249419209254412,0.7193718458002322
ENSG00000237938,AL450998.3,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000162461,SLC25A34,0.0,-6.869336040283894,0.2811172035671995,0.05564077217620525,6.869336040283894,0.2811172035671995
ENSG00000233954,UQCRHL,0.04782978309348812,-0.11444853812042588,1.0,0.0,0.11444853812042588,1.0
ENSG00000179743,AL450998.2,0.1263428232658177,-2.1892163065223977,0.31064764331417566,0.5564077217620526,2.1892163065223977,0.31064764331417566
ENSG00000065526,SPEN,0.19763627353724336,-2.4099044216465972,0.2811172035671995,1.0571746713478998,2.4099044216465972,0.2811172035671995
ENSG00000116809,ZBTB17,0.07851304017232956,0.5900955783534028,1.0,0.0,-0.5900955783534028,1.0
ENSG00000227959,AL451042.2,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000142632,ARHGEF19,0.014439179801807735,-1.781873199033555,1.0,0.0,1.781873199033555,1.0
ENSG00000132881,CPLANE2,0.009024487376129835,-3.4099044216465972,0.4789468691355586,0.05564077217620525,3.4099044216465972,0.4789468691355586
ENSG00000037637,FBXO42,0.09024487376129835,-1.7960870582532555,0.41260367915923396,0.2782038608810263,1.7960870582532555,0.41260367915923396
ENSG00000055070,SZRD1,0.20034361975008233,-0.06843614036358936,1.0,0.16692231652861575,0.06843614036358936,1.0
ENSG00000187144,SPATA21,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000157191,NECAP2,0.44400477890558787,0.7541797012066549,1.0,0.222563088704821,-0.7541797012066549,1.0
ENSG00000226029,LINC01772,0.0027073462128389503,-3.869336040283894,1.0,0.0,3.869336040283894,1.0
ENSG00000261135,AL137802.2,0.0045122436880649175,-3.284373539562738,1.0,0.0,3.284373539562738,1.0
